20147,07964
20146,88050
20145,84624
20144,61072
20143,85424
20142,81326
20141,83321
20140,51527
20139,95696
20138,00418
20137,10291
20136,55287
20135,60336
20134,75325
20133,07701
20132,87958
20131,35844
20130,96815
20129,01198
20128,08687
20127,32520
20126,49424
20125,66008
20124,62966
20123,24804
20122,63992
20121,71841
20120,24261
20119,16046
20118,20463
20117,83448
20116,93402
20115,55282
20114,06555
20113,07501
20112,42163
20111,67506
20110,28236
20109,31740
20108,26777
20107,19843
20106,44020
20105,59843
20104,29595
20103,90491
20102,87794
20101,26776
20100,06438
20099,79897
20098,44963
20097,93564
20096,71853
20095,42588
20094,32875
20093,73052
20092,61618
20091,59980
20090,55972
20089,08721
20088,55163
20087,34336
20086,97250
20085,83502
20084,56754
20083,09659
20082,88955
20081,26202
20080,38479
20079,10398
20078,35663
20077,21348
20076,86436
20075,58550
20074,22463
20073,66912
20072,79051
20071,38403
20070,80463
20069,78843
20068,41075
20067,47704
20066,26263
20065,19987
20064,35203
20063,53164
20062,31889
20061,15279
20060,49041
20059,01965
20058,22802
20057,05708
20056,57834
20055,65931
20054,08716
20053,58846
20052,22330
20051,75350
20050,59354
20049,71072
20048,85403
20047,80996
20046,32419
20045,03165
20044,12075
20043,07089
20042,27436
20041,70510
20040,38923
20039,84619
20038,73929
20037,12027
20036,30151
20035,32816
20034,47398
20033,76787
20032,68871
20031,93786
20030,71997
20029,39515
20028,51322
20027,23969
20026,70565
20025,42405
20024,61410
20023,06141
20022,63428
20021,96462
20020,16627
20019,97339
20018,58511
20017,72848
20016,40258
20015,32273
20014,16150
20013,08107
20012,31399
20011,45951
20010,01111
20009,20812
20008,18834
20007,30974
20006,08360
20005,56903
20004,49899
20003,89369
20002,16136
20001,20228
